くんな,1286,1286,-32768,くんな,動詞,不規則,,,に,方言,クンナ,来ないでください,121,*,*,*,*
くんなが,890,890,-32768,くんなが,動詞,か変,,,に,方言,クンナガ,来るの？,122,*,*,*,*
くんなが,890,890,-32768,くんなが,動詞,か変,,,に,方言,クンナガ,来るよ,123,*,*,*,*
くんべ,890,890,-32768,くんべ,動詞,か変,,,に,方言,クンベ,来るだろう,124,*,*,*,*
けっから,1286,1286,-32768,けっから,動詞,,,,を,方言,ケッ,あげる,125,*,*,*,*
けっちゃ,1286,1286,-32768,けっちゃ,動詞,,,,を,方言,ケッチャ,あげる,126,*,*,*,*
けっぺ,1286,1286,-32768,けっぺ,動詞,,,不変,を,方言,ケッペ,くれ,127,*,*,*,*
けっぽる,1286,1286,-32768,けっぽる,動詞,,,不変,を,方言,ケッポル,蹴る,128,*,*,*,*
けっぽる,1286,1286,-32768,けっぽる,動詞,,,不変,を,方言,ケッポル,蹴る,129,*,*,*,*
ける,1286,1286,-32768,ける,動詞,,,,を,方言,ケル,あげる,130,*,*,*,*
げる,1286,1286,-32768,げる,動詞,五段-ラ行,,,に,方言,アオゲル,なる,131,*,*,*,*
けろ,1286,1286,-32768,けろ,動詞,,,不変,を,方言,ケロ,ください,132,*,*,*,*
けろ,1286,1286,-32768,けろ,動詞,,,不変,を,方言,ケロ,してください,133,*,*,*,*
けろ,1286,1286,-32768,けろ,動詞,,,不変,を,方言,ケロ,下さい,134,*,*,*,*
けん,1286,1286,-32768,けん,動詞,,,,,方言,ケン,あげ,135,*,*,*,*
けんにぇが,1286,1286,-32768,けんにぇが,動詞,,,不変,を,方言,ケンニガ,くれませんか,136,*,*,*,*
けんにが,1286,1286,-32768,けんにが,動詞,,,不変,を,方言,ケンニガ,くれませんか,137,*,*,*,*
けんになが,1286,1286,-32768,けんになが,動詞,,,不変,を,方言,ケンニ ナガ,くれないのですか,138,*,*,*,*
こげ,1286,1286,-32768,こげ,動詞,,,不変,へ,方言,コゲ,進め,139,*,*,*,*
ござった,1286,1286,-32768,ござった,動詞,,,不変,に,方言,ゴザッタ,お越しになった,140,*,*,*,*
ござっておごやえ,1286,1286,-32768,ござっておごやえ,動詞,,,不変,へ,方言,ゴザッテ オゴヤエ,来てください,141,*,*,*,*
ござる,890,890,-32768,ござる,動詞,カ変,,,,方言,ゴザル,来る,142,*,*,*,*
ごしゃいだ,1286,1286,-32768,ごしゃいだ,動詞,,,不変,,方言,ゴシャイダ,怒った,143,*,*,*,*
こしゃう,1286,1286,-32768,こしゃう,動詞,,,不変,,方言,コシャウ,作る,144,*,*,*,*
ごしゃがれる,1286,1286,-32768,ごしゃがれる,動詞,,,不変,,方言,ゴシャガレル,怒られる,145,*,*,*,*
