置賜弁テスト,1,1,-32768,見出し結果表示,品詞1,品詞2,品詞3,品詞4,品詞9(活用形),品詞10(活用形),ヨミ,正規化表記,*,*,*,*,*
ながし,4785,4785,-32768,ながし,名詞,,,,,方言,ナガシ,台所,*,*,*,*,*
ななまる,4785,4785,-32768,⑦,名詞,数詞,,,,方言,ナナマル,⑦,*,*,*,*,*
なり,4785,4785,-32768,なり,名詞,,,,,方言,ナリ,身なり,*,*,*,*,*
なれしぎ,4785,4785,-32768,なれしぎ,名詞,,,,,方言,ナレシギ,習慣,*,*,*,*,*
にぐ,4785,4785,-32768,にぐ,名詞,,,,,方言,ニグ,肉,*,*,*,*,*
にしゃ,4785,4785,-32768,にしゃ,名詞,,,,,方言,ニシャ,お前,*,*,*,*,*
にっころがし,4785,4785,-32768,にっころがし,名詞,,,,,方言,ニッコロガシ,煮物,*,*,*,*,*
にまる,4785,4785,-32768,②,名詞,数詞,,,,方言,ニマル,②,*,*,*,*,*
ぬが,4785,4785,-32768,ぬが,名詞,,,,,方言,ヌガ,もみがら,*,*,*,*,*
ぬすくらい,4785,4785,-32768,ぬすくらい,名詞,,,,,方言,ヌスクライ,つまみぐい,*,*,*,*,*
ぬすと,4785,4785,-32768,ぬすと,名詞,,,,,方言,ヌスト,泥棒,*,*,*,*,*
ねご,4785,4785,-32768,ねご,名詞,,,,,方言,ネゴ,猫,*,*,*,*,*
ねっちょ,4785,4785,-32768,ねっちょ,名詞,,,,,方言,ネッチョ,凝り性,*,*,*,*,*
ねぷかき,4785,4785,-32768,ねぷかき,名詞,,,,,方言,ネプカキ,居眠り,*,*,*,*,*
ねんぼろけ,4785,4785,-32768,ねんぼろけ,名詞,,,,,方言,ネンボロケ,寝ぼけ,*,*,*,*,*
ねんぼろげ,4785,4785,-32768,ねんぼろげ,名詞,,,,,方言,ネン ボロゲ,寝ぼけ,*,*,*,*,*
のぼせで,4785,4785,-32768,のぼせで,名詞,,,,,方言,ノボセデ,有頂天,*,*,*,*,*
のみすけ,4785,4785,-32768,のみすけ,名詞,,,,,方言,ノミスケ,呑兵衛,*,*,*,*,*
ばいだ,4785,4785,-32768,ばいだ,名詞,,,,,方言,バイダ,板切れ,*,*,*,*,*
ばえだ,4785,4785,-32768,ばえだ,名詞,,,,,方言,バエダ,薪,*,*,*,*,*
はぎる,4785,4785,-32768,はぎる,名詞,,,,,方言,ハギル,仲間はずれ,*,*,*,*,*
はげご,4785,4785,-32768,はげご,名詞,,,,,方言,ハゲゴ,収穫用ザル,*,*,*,*,*
はしりくら,4785,4785,-32768,はしりくら,名詞,,,,,方言,ハシリクラ,かけっこ,*,*,*,*,*
はしりっくら,4785,4785,-32768,はしりっくら,名詞,,,,,方言,ハシリックラ,かけっこ,*,*,*,*,*
はちまる,4785,4785,-32768,⑧,名詞,数詞,,,,方言,ハチマル,⑧,*,*,*,*,*
ぱっくり,4785,4785,-32768,ぱっくり,名詞,,,,,方言,パックリ,がま口,*,*,*,*,*
ばっこ,4785,4785,-32768,ばっこ,名詞,,,,,方言,バッコ,うんち,*,*,*,*,*
はっしゃ,4785,4785,-32768,はっしゃ,名詞,,,,,方言,ハッシャ,柱,*,*,*,*,*
ばっち,4785,4785,-32768,ばっち,名詞,,,,,方言,バッチ,末っ子,*,*,*,*,*
ばっちこ,4785,4785,-32768,ばっちこ,名詞,,,,,方言,バッチコ,末っ子,*,*,*,*,*
ばっちゃ,4785,4785,-32768,ばっちゃ,名詞,,,,,方言,バッチャ,おばあちゃん,*,*,*,*,*
はっちゃける,4785,4785,-32768,はっちゃける,名詞,助詞,助動詞,,,方言,ハッチャケル,陽気になる,*,*,*,*,*
ばっぺ,4785,4785,-32768,ばっぺ,名詞,,,,,方言,バッペ,損,*,*,*,*,*
ばばちゃ,4785,4785,-32768,ばばちゃ,名詞,,,,,方言,ババチャ,おばあさん,*,*,*,*,*
はぶだいもち,4785,4785,-32768,はぶだいもち,名詞,,,,,方言,ハブダイモチ,大きい餅,*,*,*,*,*
はめちっこ,4785,4785,-32768,はめちっこ,名詞,,,,,方言,ハメチッコ,仲間外れ,*,*,*,*,*
はらくっち,4785,4785,-32768,はらくっち,名詞,,,,,方言,ハ ラクッチ,腹いっぱい,*,*,*,*,*
はらくっちい,4785,4785,-32768,はらくっちい,名詞,,,,,方言,ハラクッチイ,腹いっぱい,*,*,*,*,*
ぱんぱえ,4785,4785,-32768,ぱんぱえ,名詞,,,,,方言,パンパエ,めんこ,*,*,*,*,*
はんばぎぬぎ,4785,4785,-32768,はんばぎぬぎ,名詞,,,,,方言,ハンバギヌギ,旅行の反省会,*,*,*,*,*
ひざかぶ,4785,4785,-32768,ひざかぶ,名詞,,,,,方言,ヒザカブ,膝小僧,*,*,*,*,*
ひして,4785,4785,-32768,ひして,名詞,,,,,方言,ヒシテ,１日,*,*,*,*,*
びじゃ,4785,4785,-32768,びじゃ,名詞,,,,,方言,ビジャ,水溜まり,*,*,*,*,*
ひしゃしい,4785,4785,-32768,ひしゃしい,名詞,,,,,方言,ヒシャシイ,久しぶり,*,*,*,*,*
びぢゃ,4785,4785,-32768,びぢゃ,名詞,,,,,方言,ビヂャ,水たまり,*,*,*,*,*
びっき,4785,4785,-32768,びっき,名詞,,,,,方言,ビッキ,カエル,*,*,*,*,*
びっこたっこ,4785,4785,-32768,びっこたっこ,名詞,,,,,方言,ビッコタッコ,不安定,*,*,*,*,*
びったし,4785,4785,-32768,びったし,名詞,,,,,方言,ビッタシ,ぴったり,*,*,*,*,*
びっちゃ,4785,4785,-32768,びっちゃ,名詞,,,,,方言,ビッチャ,水たまり,*,*,*,*,*
ひのどぎ,4785,4785,-32768,ひのどぎ,名詞,,,,,方言,ヒノドギ,日中,*,*,*,*,*
ひぼ,4785,4785,-32768,ひぼ,名詞,,,,,方言,ヒボ,ひも,*,*,*,*,*
ひまだれ,4785,4785,-32768,ひまだれ,名詞,,,,,方言,ヒマダレ,用事,*,*,*,*,*
ひょえっと,4785,4785,-32768,ひょえっと,名詞,,,,,方言,ヒョエット,不意に,*,*,*,*,*
ひょえら,4785,4785,-32768,ひょえら,名詞,,,,,方言,ヒョエラ,不意に,*,*,*,*,*
ひるま,4785,4785,-32768,ひるま,名詞,,,,,方言,ヒルマ,正午,*,*,*,*,*
びろびろ,4785,4785,-32768,びろびろ,名詞,,,,,方言,ビロビロ,乱れた格好,*,*,*,*,*
びんこ,4785,4785,-32768,びんこ,名詞,,,,,方言,ビンコ,もみあげ,*,*,*,*,*
ひんのまえ,4785,4785,-32768,ひんのまえ,名詞,,,,,方言,ヒンノ マエ,昼の前,*,*,*,*,*
ふぎ,4785,4785,-32768,ふぎ,名詞,,,,,方言,フギ,吹雪き,*,*,*,*,*
ぶさだ,4785,4785,-32768,ぶさだ,名詞,,,,,方言,ブサダ,無駄,*,*,*,*,*
ふだふだ,4785,4785,-32768,ふだふだ,名詞,,,,,方言,フダフダ,沢山,*,*,*,*,*
ふたまる,4785,4785,-32768,②,名詞,数詞,,,,方言,フタマル,②,*,*,*,*,*
ふるしぎ,4785,4785,-32768,ふるしぎ,名詞,,,,,方言,フル シギ,風呂敷,*,*,*,*,*
ぶんど,4785,4785,-32768,ぶんど,名詞,,,,,方言,ブンド,ぶどう,*,*,*,*,*
ふんぬげ,4785,4785,-32768,ふんぬげ,名詞,,,,,方言,フンヌゲ,間抜け,*,*,*,*,*
ヘクサムシ,4785,4785,-32768,ヘクサムシ,名詞,,,,,方言,ヘクサムシ,カメムシ,*,*,*,*,*
べご,4785,4785,-32768,べご,名詞,,,,,方言,ベゴ,牛,*,*,*,*,*
へつけなもの,4785,4785,-32768,へつけなもの,名詞,,,,,方言,ヘツケナ モノ,そんなもの,*,*,*,*,*
へなこ,4785,4785,-32768,へなこ,名詞,,,,,方言,ヘナコ,おんな,*,*,*,*,*
べろ,4785,4785,-32768,べろ,名詞,,,介護,,方言,ベロ,舌,*,*,*,*,*
べろっと,4785,4785,-32768,べろっと,名詞,,,,,方言,ベロット,全部,*,*,*,*,*
べろべろ,4785,4785,-32768,べろべろ,名詞,,,,,方言,ベロベロ,次から次と,*,*,*,*,*
べんじょ,4785,4785,-32768,べんじょ,名詞,,,,,方言,ベンジョ,トイレ,*,*,*,*,*
ほいじょ,4785,4785,-32768,ほいじょ,名詞,,,,,方言,ホイジョ,包丁,*,*,*,*,*
ほいづ,4785,4785,-32768,ほいづ,名詞,,,,,方言,ホイヅ,それ,*,*,*,*,*
ぼうろぐ,4785,4785,-32768,ぼうろぐ,名詞,,,,,方言,ボウログ,ボロボロ,*,*,*,*,*
ポクポク,4785,4785,-32768,ポクポク,名詞,,,,,方言,ポクポク,ホクホク,*,*,*,*,*
ぼだもぢ,4785,4785,-32768,ぼだもぢ,名詞,,,,,方言,ボダモヂ,おはぎ,*,*,*,*,*
ほだゆき,4785,4785,-32768,ほだゆき,名詞,,,,,方言,ホダユキ,深い雪,*,*,*,*,*
ぼっこ,4785,4785,-32768,ぼっこ,名詞,,,,,方言,ボッコ,雪,*,*,*,*,*
ぼっこれ,4785,4785,-32768,ぼっこれ,名詞,,,,,方言,ボッコレ,故障,*,*,*,*,*
ほったぶ,4785,4785,-32768,ほったぶ,名詞,,,,,方言,ホッタブ,ほっぺ,*,*,*,*,*
ほっぺた,4785,4785,-32768,ほっぺた,名詞,,,,,方言,ホッペタ,ほっぺ,*,*,*,*,*
まきこる,4785,4785,-32768,まきこる,名詞,,,,,方言,マキコル,頑張る,*,*,*,*,*
まっきって,4785,4785,-32768,まっきって,名詞,,,,,方言,マッキッテ,頑張って,*,*,*,*,*
まっきる,4785,4785,-32768,まっきる,名詞,,,,,方言,マッキル,頑張る,*,*,*,*,*
まなご,4785,4785,-32768,まなご,名詞,,,,,方言,マナゴ,まぶた,*,*,*,*,*
まめ,4785,4785,-32768,まめ,名詞,,,,,方言,マメ,勤勉,*,*,*,*,*
まるっと,4785,4785,-32768,まるっと,名詞,,,,,方言,マルット,すべて,*,*,*,*,*
まんぎり,4785,4785,-32768,まんぎり,名詞,,,,,方言,マンギリ,完全,*,*,*,*,*
まんぎり,4785,4785,-32768,まんぎり,名詞,,,,,方言,マンギリ,完璧,*,*,*,*,*
まんくそ,4785,4785,-32768,まんくそ,名詞,,,,,方言,マンクソ,馬のウンチ,*,*,*,*,*
まんぱち,4785,4785,-32768,まんぱち,名詞,,,,,方言,マンパチ,嘘付き,*,*,*,*,*
まんま,4785,4785,-32768,まんま,名詞,,,,,方言,マンマ,ご飯,*,*,*,*,*
みずあまし,4785,4785,-32768,みずあまし,名詞,,,,,方言,ミズアマシ,溢れた水,*,*,*,*,*
みそっかす,4785,4785,-32768,みそっかす,名詞,,,,,方言,ミソッカス,半人前,*,*,*,*,*
みそっこ,4785,4785,-32768,みそっこ,名詞,,,,,方言,ミソッコ,仲間外れ,*,*,*,*,*
むがさり,4785,4785,-32768,むがさり,名詞,,,,,方言,ムガサリ,花嫁,*,*,*,*,*
めめず,4785,4785,-32768,めめず,名詞,,,,,方言,ミミズ,ミミズ,*,*,*,*,*
めら,4785,4785,-32768,めら,名詞,,,,,方言,メラ,達,*,*,*,*,*
めんどうして,4785,4785,-32768,めんどうして,名詞,,,,,方言,メンドウシテ,手間がかかる,*,*,*,*,*
もぐぞ,4785,4785,-32768,もぐぞ,名詞,,,,,方言,モグゾ,雑多なもの,*,*,*,*,*
もぐだ,4785,4785,-32768,もぐだ,名詞,,,,,方言,モグダ,落ち葉の貯まり場,*,*,*,*,*
もぞ,4785,4785,-32768,もぞ,名詞,,,,,方言,モゾ,寝言,*,*,*,*,*
もってのほが,4785,4785,-32768,もってのほが,名詞,,,,,方言,モッテノ ホガ,もってのほか,*,*,*,*,*
もどる,4785,4785,-32768,もどる,名詞,,,,,方言,モドル,器用,*,*,*,*,*
もろもろ,4785,4785,-32768,もろもろ,名詞,,,,,方言,モロモロ,たくさんの雪,*,*,*,*,*
もんぼれ,4785,4785,-32768,もんぼれ,名詞,,,,複合語方言,方言,モン ボレ,ぼげ,*,*,*,*,*
やじから,4785,4785,-32768,やじから,名詞,,,,,方言,ヤジカラ,ありったけの力,*,*,*,*,*
やなさって,4785,4785,-32768,やなさって,名詞,,,,,方言,ヤナサッテ,しあさって,*,*,*,*,*
やろ,4785,4785,-32768,やろ,名詞,,,,,方言,ヤロ,あいつ,*,*,*,*,*
やろ,4785,4785,-32768,やろ,名詞,,,,,方言,ヤロ,野郎,*,*,*,*,*
やろこ,4785,4785,-32768,やろこ,名詞,,,,,方言,ヤロコ,子供,*,*,*,*,*
やろこ,4785,4785,-32768,やろこ,名詞,,,,,方言,ヤロコ,野郎,*,*,*,*,*
やろめら,4785,4785,-32768,やろめら,名詞,,,,,方言,ヤロメラ,あいつら,*,*,*,*,*
ゆったて,4785,4785,-32768,ゆったて,名詞,,,,,方言,ユッタテ,雪囲い,*,*,*,*,*
ゆんべ,4785,4785,-32768,ゆんべ,名詞,,,,,方言,ユンベ,昨夜,*,*,*,*,*
よごっばら,4785,4785,-32768,よごっばら,名詞,,,介護,,方言,ヨゴッバラ,脇腹,*,*,*,*,*
よごっぱら,4785,4785,-32768,よごっぱら,名詞,,,介護,,方言,ヨゴッパラ,脇腹,*,*,*,*,*
よっぴて,4785,4785,-32768,よっぴて,名詞,,,,,方言,ヨッピテ,一晩中,*,*,*,*,*
よばった,4785,4785,-32768,よばった,名詞,,,,,方言,ヨバッタ,呼んだ,*,*,*,*,*
よばって,4785,4785,-32768,よばって,名詞,,,,,方言,ヨバッテ,呼んで,*,*,*,*,*
よぴかり,4785,4785,-32768,よぴかり,名詞,,,,,方言,ヨピカリ,夜更かし,*,*,*,*,*
よりあい,4785,4785,-32768,よりあい,名詞,,,,,方言,ヨリアイ,会合,*,*,*,*,*
よんまる,4785,4785,-32768,④,名詞,数詞,,,,方言,ヨンマル,④,*,*,*,*,*
らっぱふき,4785,4785,-32768,らっぱふき,名詞,,,,,方言,ラッパフキ,ほらふき,*,*,*,*,*
ろぐすっぽ,4785,4785,-32768,ろぐすっぽ,名詞,助詞,,,,方言,ログスッポ,まともに,*,*,*,*,*
ろぐでもね,4785,4785,-32768,ろぐでもね,名詞,,,,,方言,ログ デモネ,ろくでなし,*,*,*,*,*
ろくまる,4785,4785,-32768,⑥,名詞,数詞,,,,方言,ロクマル,⑥,*,*,*,*,*
わがんね,4785,4785,-32768,わがんね,名詞,,,,,方言,ワガンネ,だめだ,*,*,*,*,*
わぎばら,4785,4785,-32768,わぎばら,名詞,,,介護,,方言,ワギバラ,脇腹,*,*,*,*,*
わっか,4785,4785,-32768,わっか,名詞,,,,,方言,ワッカ,輪,*,*,*,*,*
わっさ,4785,4785,-32768,わっさ,名詞,,,,,方言,ワッサ,遊び,*,*,*,*,*
わっしゃこ,4785,4785,-32768,わっしゃこ,名詞,,,,,方言,ワッシャコ,いたずら,*,*,*,*,*
わんこ,4785,4785,-32768,わんこ,名詞,,,,,方言,ワンコ,犬,*,*,*,*,*
わんこわんこ,4785,4785,-32768,わんこわんこ,名詞,,,,,方言,ワンコワンコ,混乱,*,*,*,*,*
わんこわんこ,4785,4785,-32768,わんこわんこ,名詞,,,,,方言,ワンコワンコ,大混雑,*,*,*,*,*
んべ,4785,4785,-32768,んべ,名詞,,,,,方言,ンベ,必要,*,*,*,*,*
んぺ,4785,4785,-32768,んぺ,名詞,,,,,方言,ンペ,必要,*,*,*,*,*
ごど,5978,5978,-32768,ごど,連体詞,,,,,方言,ゴド,こと,*,*,*,*,*
でがさね,5979,5979,-32768,でがさね,連体詞,,,,複合語方言,方言,デ ガサネ,出来が悪い,*,*,*,*,*
ほだほだ,5687,5687,-32768,ほだほだ,連体詞,,,,一般,方言,ホダホダ,その通り,*,*,*,*,*
おだち,4785,4785,-32768,おだち,名詞,,,,,方言,オダチ,おかわり,*,*,*,*,*
がら,5930,5930,-32768,がら,接続詞,,,,,方言,ガラ,から,*,*,*,*,*
げど,5930,5930,-32768,げど,接続詞,,,,,方言,ゲド,けど,*,*,*,*,*
けんど,5930,5930,-32768,けんど,接続詞,,,,,方言,ケンドモ,けれども,*,*,*,*,*
けんども,5930,5930,-32768,けんども,接続詞,,,,,方言,ケンドモ,けれども,*,*,*,*,*
